Time/Date,Tickers,Headlines
30-May-2024 07:55,tsla ,Analysts weigh in on TSLA ahead of macro data
2024/12/23 15:58:55,$ CRM $CRM,Sector rotation lifts CRM in late trade
2024-10-05T12:51:40, $ABNB ,ABNB active in premarket as volume spikes
01-May-2020 10:00,UBER,UBER moves on headline cross-asset flows
12/04/2024 09:36 AM,$AMZN,  AMZN active in premarket as volume spikes  
05-Jul-2023 07:12,meta ,META sees block trade interest — sources
15-Jan-2024 11:47,$AMZN,"  ""Analysts weigh in on AMZN ahead of macro data""  "
2024-03-22 09:07:23, $AAPL ,
10/13/2024 02:33 PM,$ AMZN $AMZN,Analysts weigh in on AMZN ahead of macro data
2023-03-07 16:31:05,msft ,MSFT sees block trade interest — sources
"Aug 16, 2023 12:18:43", $ABNB ,ABNB active in premarket as volume spikes
"Nov 19, 2023 13:32:41",googl ,  GOOGL sees block trade interest — sources  
2023-11-07 14:23:42,$ UBER $UBER,Funds trim exposure to UBER after sector read-across
"Mar 11, 2023 13:14:37", $META ,META active in premarket as volume spikes
"Mar 27, 2024 11:36:51",$ UBER $UBER,UBER options implied volatility elevated
2023-05-14T16:02:34,$META / $ABNB,Traders debate valuation for META into quarter-end
2024-10-20 07:03:39, $CRM ,Traders debate valuation for CRM into quarter-end
23-Jul-2024 10:37,$ AMZN $AMZN,Traders debate valuation for AMZN into quarter-end
2023/12/09 08:07:54, $MSFT ,Sector rotation lifts MSFT in late trade
2023-09-21T14:06:31,amzn ,Sector rotation lifts AMZN in late trade
2023-12-03T10:53:43,$UBER / $AMZN,  UBER moves on headline cross-asset flows  
2020-05-01 10:00:00,AMZN,
2023-03-03 16:27:07, $TSLA ,Analysts weigh in on TSLA ahead of macro data
12/25/2024 06:50 AM,$ AMZN $AMZN,AMZN sees block trade interest — sources
30-Jun-2024 13:33, $AMZN ,Traders debate valuation for AMZN into quarter-end
2023-05-21 14:47:57,tsla ,Traders debate valuation for TSLA into quarter-end
03/17/2023 10:02 AM, $CRM ,Analysts weigh in on CRM ahead of macro data
22-Mar-2023 10:48,$ LYFT $LYFT,Sector rotation lifts LYFT in late trade
2024-01-11T14:56:31,$ ABNB $ABNB,ABNB options implied volatility elevated
2023/09/10 09:15:28, $META ,Analysts weigh in on META ahead of macro data
2024-03-21 06:10:59, $AAPL ,Funds trim exposure to AAPL after sector read-across
12/21/2023 04:05 PM, $UBER ,Analysts weigh in on UBER ahead of macro data
09-May-2024 16:13,META,META active in premarket as volume spikes
2023-12-14 10:56:59, $GOOGL ,Funds trim exposure to GOOGL after sector read-across
2023-11-26T10:06:54,CRM,Analysts weigh in on CRM ahead of macro data
2023-04-04 10:37:21,UBER,Funds trim exposure to UBER after sector read-across
2024-08-04 12:34:31,aapl ,
2023-11-16 06:23:03, $ABNB ,Traders debate valuation for ABNB into quarter-end
"Jan 21, 2023 06:38:02", $ABNB ,ABNB moves on headline cross-asset flows
"Apr 16, 2024 13:14:37",CRM,Traders debate valuation for CRM into quarter-end
01/02/2024 08:12 AM, $MSFT ,MSFT moves on headline cross-asset flows
2023-02-13 08:43:38, $CRM ,Analysts weigh in on CRM ahead of macro data
03/14/2024 08:23 AM, $CRM ,
"Oct 17, 2023 09:44:12",$ZZTOP,AAPL moves on headline cross-asset flows
2023-01-23 13:17:09,$ MSFT $MSFT,MSFT options implied volatility elevated
2024-11-22T14:00:38, $LYFT ,LYFT moves on headline cross-asset flows
2024-06-07 10:48:26,$ META $META,META moves on headline cross-asset flows
30-Apr-2023 10:08,$LYFT,LYFT moves on headline cross-asset flows
2025-03-21 16:13:32,$ LYFT $LYFT,Funds trim exposure to LYFT after sector read-across
2024-01-29 14:37:50, $AMZN ,AMZN moves on headline cross-asset flows
08-Oct-2023 08:32,tsla ,Sector rotation lifts TSLA in late trade
06/12/2024 12:19 PM,$AAPL,Funds trim exposure to AAPL after sector read-across
2023-06-11 15:34:42,LYFT,Sector rotation lifts LYFT in late trade
2020/05/01 10:00:00,abnb ,ABNB active in premarket as volume spikes
10-Feb-2024 07:57,$CRM / $UBER,Funds trim exposure to CRM after sector read-across
06/15/2023 02:36 PM, $META ,META options implied volatility elevated
2024-07-07 16:01:07, $META ,Funds trim exposure to META after sector read-across
2024-10-21 10:17:41, $AMZN ,Traders debate valuation for AMZN into quarter-end
2024-02-24 13:15:32,tsla ,TSLA moves on headline cross-asset flows
"Aug 16, 2024 10:54:01",$ TSLA $TSLA,
2023/07/21 16:00:19,$CRM / $MSFT,Sector rotation lifts CRM in late trade
02/15/2023 08:46 AM,$ZZTOP,Analysts weigh in on MSFT ahead of macro data
2024-10-19 08:52:14,$ UBER $UBER,Sector rotation lifts UBER in late trade
2024-10-31 06:05:39,$ ABNB $ABNB,ABNB options implied volatility elevated
2024-02-03 15:38:55, $MSFT ,Traders debate valuation for MSFT into quarter-end
25-Jan-2023 16:42,$ GOOGL $GOOGL,GOOGL moves on headline cross-asset flows
2024-03-09 12:12:55, $TSLA ,Funds trim exposure to TSLA after sector read-across
2025-02-22T09:49:33,$ CRM $CRM,CRM moves on headline cross-asset flows
2023/09/20 15:54:54,$AAPL,Analysts weigh in on AAPL ahead of macro data
01-May-2020 10:00, $AAPL ,Traders debate valuation for AAPL into quarter-end
2024-01-07 06:24:50, $TSLA ,  TSLA options implied volatility elevated  
